,2024,2025,2026,2027,2028,2029,2030,2031,2032
current_law_All,310.05,344.06,380.61,420.71,465.03,514.02,568.19,628.05,694.22
reform_All,310.05,344.06,380.61,420.71,465.03,514.02,568.19,628.05,694.22
