id_n,Year,income_wage_l,income_dividends_c,income_interest_c,total_gross_income,pitax_w,pitax_c,pitax
90861,2018,489537,0,0,489537,48954,0,48954
131346,2018,456751,4999999,0,5456750,45675,500000,545675
154865,2018,1564154,0,0,1564154,195148,0,195148
87184,2018,1341797,0,0,1341797,155123,0,155123
125401,2018,1374036,726044,0,2100080,160926,72604,233531
111661,2018,1424876,0,0,1424876,170078,0,170078
90017,2018,1671564,0,0,1671564,214482,0,214482
88623,2018,398584,0,0,398584,39858,0,39858
85463,2018,2283722,0,0,2283722,324670,0,324670
130215,2018,513628,1518379,0,2032007,51363,151838,203201
94289,2018,2545440,45915,0,2591355,371779,4592,376371
100392,2018,196749,0,0,196749,19675,0,19675
112808,2018,658976,2171750,0,2830726,65898,217175,283073
86684,2018,716856,0,0,716856,71686,0,71686
153854,2018,0,0,0,0,0,0,0
102831,2018,2526696,9000,0,2535696,368405,900,369305
134114,2018,5893653,0,0,5893653,974458,0,974458
92200,2018,745014,1270940,0,2015954,74501,127094,201595
154533,2018,1442394,0,0,1442394,173231,0,173231
141216,2018,899484,0,0,899484,89948,0,89948
114258,2018,1523912,0,0,1523912,187904,0,187904
87438,2018,0,0,0,0,0,0,0
104767,2018,1416114,0,0,1416114,168501,0,168501
114724,2018,103335,0,0,103335,10334,0,10334
102993,2018,1477881,0,0,1477881,179619,0,179619
139758,2018,689354,44662283,0,45351637,68935,4466228,4535164
90893,2018,208320,0,0,208320,20832,0,20832
88497,2018,1604609,0,0,1604609,202430,0,202430
116397,2018,2150026,0,0,2150026,300605,0,300605
83715,2018,1826675,0,0,1826675,242402,0,242402
114504,2018,1961314,0,0,1961314,266637,0,266637
123877,2018,0,1500000,0,1500000,0,150000,150000
153615,2018,1556098,0,0,1556098,193698,0,193698
134336,2018,534192,1666668,0,2200860,53419,166667,220086
145130,2018,2291048,0,0,2291048,325989,0,325989
122366,2018,315000,0,0,315000,31500,0,31500
104700,2018,3356852,0,0,3356852,517833,0,517833
82369,2018,1254048,0,0,1254048,139329,0,139329
122054,2018,3400522,0,0,3400522,525694,0,525694
117451,2018,1411309,0,0,1411309,167636,0,167636
103896,2018,2295779,0,0,2295779,326840,0,326840
148158,2018,2291253,0,0,2291253,326026,0,326026
88485,2018,360000,2871530,0,3231530,36000,287153,323153
110707,2018,705117,0,0,705117,70512,0,70512
131947,2018,785811,0,0,785811,78581,0,78581
129654,2018,63544,0,0,63544,6354,0,6354
150995,2018,7298044,0,0,7298044,1227248,0,1227248
127091,2018,0,0,0,0,0,0,0
105474,2018,580613,0,0,580613,58061,0,58061
108110,2018,839494,0,0,839494,83949,0,83949
123552,2018,716856,8444444,0,9161300,71686,844444,916130
126654,2018,1102228,0,0,1102228,112001,0,112001
104480,2018,1249243,0,0,1249243,138464,0,138464
109006,2018,295252,10000939,0,10296191,29525,1000094,1029619
143965,2018,2529279,0,0,2529279,368870,0,368870
135495,2018,1599703,0,0,1599703,201547,0,201547
107911,2018,762513,0,0,762513,76251,0,76251
93428,2018,1466016,0,0,1466016,177483,0,177483
123946,2018,386448,0,0,386448,38645,0,38645
98725,2018,871200,0,0,871200,87120,0,87120
143552,2018,0,0,0,0,0,0,0
134684,2018,220701,0,0,220701,22070,0,22070
98956,2018,873629,877778,0,1751407,87363,87778,175141
77718,2018,337198,0,0,337198,33720,0,33720
79369,2018,1231884,41940,0,1273824,135339,4194,139533
141050,2018,3356852,0,0,3356852,517833,0,517833
102023,2018,243901,0,0,243901,24390,0,24390
143832,2018,0,0,0,0,0,0,0
92663,2018,2794464,0,0,2794464,416604,0,416604
136029,2018,2285969,0,0,2285969,325074,0,325074
104362,2018,518982,1222222,0,1741204,51898,122222,174120
138754,2018,0,0,0,0,0,0,0
138386,2018,1217912,0,0,1217912,132824,0,132824
151899,2018,155601,0,0,155601,15560,0,15560
85472,2018,1555403,0,0,1555403,193573,0,193573
137714,2018,3008325,0,0,3008325,455098,0,455098
79967,2018,899508,7657311,0,8556819,89951,765731,855682
88787,2018,648288,884765,0,1533053,64829,88476,153305
103707,2018,0,0,0,0,0,0,0
127186,2018,837870,2326008,0,3163878,83787,232601,316388
121492,2018,1571990,625881,0,2197871,196558,62588,259146
124457,2018,999346,0,0,999346,99935,0,99935
128858,2018,0,0,0,0,0,0,0
91091,2018,1146778,0,0,1146778,120020,0,120020
