,weight_2025,pitax_2025,total_income_2025,weight_ref_2025,pitax_ref_2025,total_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_income_ref_2027,weight_ref_2028,pitax_ref_2028,total_income_ref_2028,weight_ref_2029,pitax_ref_2029,total_income_ref_2029,weight_ref_2030,pitax_ref_2030,total_income_ref_2030,weight_ref_2031,pitax_ref_2031,total_income_ref_2031,weight_ref_2032,pitax_ref_2032,total_income_ref_2032,ETR_2025,ETR_ref_2025,ETR_ref_2026,ETR_ref_2027,ETR_ref_2028,ETR_ref_2029,ETR_ref_2030,ETR_ref_2031,ETR_ref_2032
16,23000.0,0.0,5318.0,23000.0,0.0,5318.0,23000.0,1.0,5901.0,23000.0,0.0,6528.0,23000.0,0.0,7215.0,23000.0,0.0,7976.0,23000.0,0.0,8816.0,23000.0,2.0,9745.0,23000.0,3.0,10772.0,0.0,0.0,0.0001694628029147602,0.0,0.0,0.0,0.0,0.0002052334530528476,0.0002784998143334571
17,23000.0,0.0,5473.0,23000.0,0.0,5473.0,23000.0,0.0,6074.0,23000.0,0.0,6719.0,23000.0,0.0,7427.0,23000.0,0.0,8209.0,23000.0,0.0,9074.0,23000.0,0.0,10030.0,23000.0,0.0,11087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,23000.0,0.0,5636.0,23000.0,0.0,5636.0,23000.0,0.0,6254.0,23000.0,0.0,6918.0,23000.0,0.0,7647.0,23000.0,0.0,8453.0,23000.0,0.0,9343.0,23000.0,1.0,10327.0,23000.0,1.0,11416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.683354313934346e-05,8.759635599159075e-05
19,22950.0,0.0,5868.0,22950.0,0.0,5868.0,22950.0,1.0,6511.0,22950.0,1.0,7203.0,22950.0,1.0,7962.0,22950.0,1.0,8800.0,22950.0,2.0,9727.0,22950.0,3.0,10753.0,22950.0,5.0,11885.0,0.0,0.0,0.0001535862386730149,0.00013883104262113008,0.00012559658377292137,0.00011363636363636364,0.00020561324149275214,0.0002789919092346322,0.00042069835927639884
20,23000.0,0.0,6101.0,23000.0,0.0,6101.0,23000.0,0.0,6770.0,23000.0,0.0,7489.0,23000.0,0.0,8278.0,23000.0,1.0,9151.0,23000.0,1.0,10115.0,23000.0,2.0,11180.0,23000.0,15.0,12358.0,0.0,0.0,0.0,0.0,0.0,0.00010927767457108513,9.886307464162135e-05,0.00017889087656529517,0.0012137886389383395
21,23000.0,2.0,6320.0,23000.0,2.0,6320.0,23000.0,5.0,7013.0,23000.0,2.0,7758.0,23000.0,3.0,8575.0,23000.0,3.0,9479.0,23000.0,4.0,10477.0,23000.0,6.0,11582.0,23000.0,67.0,12802.0,0.00031645569620253165,0.00031645569620253165,0.0007129616426636247,0.0002577984016499098,0.0003498542274052478,0.00031648908112670115,0.000381788679965639,0.0005180452426178552,0.005233557256678644
22,23000.0,0.0,6522.0,23000.0,0.0,6522.0,23000.0,9.0,7237.0,23000.0,0.0,8006.0,23000.0,0.0,8849.0,23000.0,0.0,9782.0,23000.0,0.0,10812.0,23000.0,4.0,11951.0,23000.0,125.0,13211.0,0.0,0.0,0.0012436092303440651,0.0,0.0,0.0,0.0,0.0003347000251025019,0.00946181212625842
23,23000.0,1.0,6750.0,23000.0,1.0,6750.0,23000.0,33.0,7490.0,23000.0,0.0,8286.0,23000.0,0.0,9158.0,23000.0,1.0,10123.0,23000.0,1.0,11190.0,23000.0,14.0,12369.0,23000.0,196.0,13672.0,0.00014814814814814815,0.00014814814814814815,0.004405874499332443,0.0,0.0,9.878494517435543e-05,8.936550491510277e-05,0.0011318619128466328,0.014335868929198362
24,23000.0,1.0,6933.0,23000.0,1.0,6933.0,23000.0,72.0,7694.0,23000.0,0.0,8511.0,23000.0,0.0,9408.0,23000.0,1.0,10399.0,23000.0,2.0,11494.0,23000.0,44.0,12706.0,23000.0,265.0,14044.0,0.00014423770373575654,0.00014423770373575654,0.009357941252924357,0.0,0.0,9.616309260505818e-05,0.00017400382808421786,0.003462930898787974,0.018869268014810595
25,23000.0,10.0,7127.0,23000.0,10.0,7127.0,23000.0,124.0,7909.0,23000.0,2.0,8749.0,23000.0,3.0,9671.0,23000.0,5.0,10690.0,23000.0,8.0,11816.0,23000.0,107.0,13061.0,23000.0,352.0,14437.0,0.0014031149151115475,0.0014031149151115475,0.01567834113035782,0.00022859755400617213,0.0003102057698273188,0.0004677268475210477,0.0006770480704129993,0.008192328305642753,0.024381796772182586
26,23000.0,16.0,7353.0,23000.0,16.0,7353.0,23000.0,163.0,8160.0,23000.0,2.0,9027.0,23000.0,2.0,9978.0,23000.0,3.0,11029.0,23000.0,11.0,12191.0,23000.0,161.0,13475.0,23000.0,410.0,14895.0,0.002175982592139263,0.002175982592139263,0.01997549019607843,0.00022155754957350172,0.00020044097013429546,0.0002720101550457884,0.00090230497908293,0.011948051948051949,0.027526015441423298
27,23000.0,58.0,7598.0,23000.0,58.0,7598.0,23000.0,231.0,8431.0,23000.0,1.0,9327.0,23000.0,1.0,10309.0,23000.0,2.0,11395.0,23000.0,37.0,12596.0,23000.0,249.0,13923.0,23000.0,505.0,15390.0,0.007633587786259542,0.007633587786259542,0.02739888506701459,0.00010721561059290233,9.700261907071492e-05,0.00017551557700745942,0.002937440457288028,0.01788407670760612,0.03281351526965562
28,23000.0,100.0,7844.0,23000.0,100.0,7844.0,23000.0,281.0,8704.0,23000.0,3.0,9629.0,23000.0,4.0,10643.0,23000.0,6.0,11765.0,23000.0,90.0,13004.0,23000.0,323.0,14374.0,23000.0,589.0,15889.0,0.012748597654258032,0.012748597654258032,0.03228400735294118,0.00031155883269290684,0.0003758338814244104,0.000509987250318742,0.006920947400799754,0.02247112842632531,0.03706967084146265
29,23000.0,151.0,8115.0,23000.0,151.0,8115.0,23000.0,341.0,9005.0,23000.0,0.0,9962.0,23000.0,1.0,11012.0,23000.0,8.0,12172.0,23000.0,153.0,13454.0,23000.0,401.0,14872.0,23000.0,695.0,16439.0,0.018607516943930993,0.018607516943930993,0.037867851193781235,0.0,9.081002542680712e-05,0.0006572461386789353,0.011372082651999406,0.026963421194190425,0.04227751079749376
30,23000.0,192.0,8320.0,23000.0,192.0,8320.0,23000.0,384.0,9233.0,23000.0,0.0,10213.0,23000.0,0.0,11289.0,23000.0,16.0,12479.0,23000.0,210.0,13793.0,23000.0,463.0,15247.0,23000.0,773.0,16853.0,0.023076923076923078,0.023076923076923078,0.04158994909563522,0.0,0.0,0.0012821540187515025,0.015225114188356413,0.03036662950088542,0.04586720465199074
31,23000.0,258.0,8583.0,23000.0,258.0,8583.0,23000.0,459.0,9524.0,23000.0,6.0,10536.0,23000.0,7.0,11646.0,23000.0,75.0,12873.0,23000.0,301.0,14229.0,23000.0,559.0,15728.0,23000.0,909.0,17385.0,0.030059419783292556,0.030059419783292556,0.04819403611927761,0.0005694760820045558,0.0006010647432594882,0.005826147751106968,0.021153981305783963,0.035541709053916584,0.05228645383951683
32,23000.0,323.0,8876.0,23000.0,323.0,8876.0,23000.0,537.0,9849.0,23000.0,0.0,10896.0,23000.0,3.0,12044.0,23000.0,136.0,13312.0,23000.0,383.0,14715.0,23000.0,671.0,16265.0,23000.0,1046.0,17979.0,0.036390265885534026,0.036390265885534026,0.05452330185805666,0.0,0.00024908668216539354,0.010216346153846154,0.026027862725110432,0.04125422686750692,0.05817898659547249
33,23000.0,382.0,9191.0,23000.0,382.0,9191.0,23000.0,611.0,10200.0,23000.0,1.0,11283.0,23000.0,20.0,12472.0,23000.0,215.0,13786.0,23000.0,471.0,15238.0,23000.0,786.0,16844.0,23000.0,1174.0,18618.0,0.04156239799804156,0.04156239799804156,0.05990196078431372,8.862891075068687e-05,0.001603592046183451,0.015595531698824895,0.030909568184801155,0.046663500356209926,0.06305725641851971
34,23000.0,445.0,9506.0,23000.0,445.0,9506.0,23000.0,693.0,10549.0,23000.0,0.0,11669.0,23000.0,61.0,12899.0,23000.0,288.0,14258.0,23000.0,546.0,15760.0,23000.0,899.0,17421.0,23000.0,1302.0,19256.0,0.046812539448769196,0.046812539448769196,0.06569343065693431,0.0,0.004729048763470037,0.020199186421658015,0.03464467005076142,0.05160438551173871,0.06761528874117158
35,23000.0,495.0,9726.0,23000.0,495.0,9726.0,23000.0,758.0,10793.0,23000.0,3.0,11940.0,23000.0,105.0,13197.0,23000.0,346.0,14588.0,23000.0,622.0,16125.0,23000.0,988.0,17824.0,23000.0,1402.0,19702.0,0.050894509561998764,0.050894509561998764,0.07023070508663022,0.0002512562814070352,0.007956353716753808,0.023718124485878806,0.03857364341085271,0.05543087971274686,0.0711602882956045
36,23000.0,550.0,9991.0,23000.0,550.0,9991.0,23000.0,826.0,11087.0,23000.0,10.0,12264.0,23000.0,166.0,13557.0,23000.0,414.0,14985.0,23000.0,709.0,16564.0,23000.0,1086.0,18309.0,23000.0,1507.0,20238.0,0.055049544590131116,0.055049544590131116,0.07450166862090737,0.0008153946510110893,0.012244596887216935,0.02762762762762763,0.04280367061096354,0.059315090938882514,0.07446387983002273
37,23000.0,626.0,10336.0,23000.0,626.0,10336.0,23000.0,911.0,11469.0,23000.0,35.0,12688.0,23000.0,241.0,14024.0,23000.0,491.0,15502.0,23000.0,820.0,17135.0,23000.0,1208.0,18940.0,23000.0,1634.0,20936.0,0.06056501547987616,0.06056501547987616,0.07943151102973232,0.0027585119798234554,0.017184826012549913,0.03167333247322926,0.047855266997373795,0.06378035902851109,0.0780473824990447
38,23000.0,707.0,10664.0,23000.0,707.0,10664.0,23000.0,1007.0,11834.0,23000.0,83.0,13091.0,23000.0,311.0,14470.0,23000.0,580.0,15994.0,23000.0,934.0,17679.0,23000.0,1342.0,19542.0,23000.0,1771.0,21601.0,0.06629782445611403,0.06629782445611403,0.08509379753253338,0.0063402337483767475,0.021492743607463716,0.03626359884956859,0.05283104247977827,0.06867260259952922,0.08198694504884033
39,22990.0,789.0,10979.0,22990.0,789.0,10979.0,22990.0,1095.0,12183.0,22990.0,147.0,13478.0,22990.0,391.0,14897.0,22990.0,681.0,16467.0,22990.0,1050.0,18202.0,22990.0,1463.0,20120.0,22990.0,1899.0,22239.0,0.07186446853083159,0.07186446853083159,0.08987934006402364,0.01090666270960083,0.026246895348056656,0.04135543814902532,0.05768596857488188,0.07271371769383699,0.08539053014973695
40,23000.0,876.0,11256.0,23000.0,876.0,11256.0,23000.0,1195.0,12490.0,23000.0,210.0,13817.0,23000.0,467.0,15273.0,23000.0,782.0,16882.0,23000.0,1170.0,18660.0,23000.0,1598.0,20626.0,23000.0,2067.0,22799.0,0.07782515991471216,0.07782515991471216,0.09567654123298638,0.01519866830715785,0.030576834937471355,0.04632152588555858,0.06270096463022508,0.07747503151362359,0.0906618711346989
41,23000.0,951.0,11573.0,23000.0,951.0,11573.0,23000.0,1277.0,12843.0,23000.0,278.0,14207.0,23000.0,531.0,15704.0,23000.0,880.0,17358.0,23000.0,1277.0,19187.0,23000.0,1713.0,21208.0,23000.0,2211.0,23443.0,0.08217402574958957,0.08217402574958957,0.09943159697889901,0.019567818680931937,0.03381304126337239,0.050697084917617236,0.06655548027310158,0.08077140701622029,0.09431386767905131
42,22980.0,1028.0,11873.0,22980.0,1028.0,11873.0,22980.0,1364.0,13175.0,22980.0,337.0,14574.0,22980.0,612.0,16110.0,22980.0,974.0,17807.0,22980.0,1384.0,19683.0,22980.0,1807.0,21757.0,22980.0,2369.0,24049.0,0.08658300345321317,0.08658300345321317,0.10352941176470588,0.023123370385618226,0.03798882681564246,0.05469759083506486,0.07031448458060255,0.08305372983407638,0.09850721443719074
43,23000.0,1114.0,12215.0,23000.0,1114.0,12215.0,23000.0,1461.0,13555.0,23000.0,414.0,14994.0,23000.0,707.0,16574.0,23000.0,1086.0,18320.0,23000.0,1507.0,20250.0,23000.0,1954.0,22384.0,23000.0,2548.0,24743.0,0.0911993450675399,0.0911993450675399,0.10778310586499447,0.027611044417767107,0.042657173886810666,0.05927947598253275,0.07441975308641975,0.08729449606862044,0.10297862021581862
44,23000.0,1173.0,12537.0,23000.0,1173.0,12537.0,23000.0,1520.0,13912.0,23000.0,476.0,15390.0,23000.0,793.0,17011.0,23000.0,1174.0,18804.0,23000.0,1592.0,20784.0,23000.0,2058.0,22975.0,23000.0,2666.0,25395.0,0.09356305336204834,0.09356305336204834,0.10925819436457734,0.030929174788823913,0.04661689495032626,0.062433524781961285,0.07659738260200154,0.08957562568008705,0.10498129553061626
45,23000.0,1313.0,12948.0,23000.0,1313.0,12948.0,23000.0,1679.0,14368.0,23000.0,582.0,15895.0,23000.0,938.0,17569.0,23000.0,1341.0,19420.0,23000.0,1766.0,21466.0,23000.0,2303.0,23728.0,23000.0,2947.0,26228.0,0.10140562248995984,0.10140562248995984,0.11685690423162584,0.03661528782636049,0.0533894928567363,0.06905252317198764,0.08226963570297215,0.09705832771409305,0.11236083574805551
46,23000.0,1431.0,13267.0,23000.0,1431.0,13267.0,23000.0,1816.0,14722.0,23000.0,676.0,16286.0,23000.0,1056.0,18002.0,23000.0,1480.0,19898.0,23000.0,1911.0,21994.0,23000.0,2512.0,24312.0,23000.0,3189.0,26874.0,0.10786161151729856,0.10786161151729856,0.1233528053253634,0.04150804371853126,0.058660148872347516,0.07437933460649311,0.08688733290897517,0.10332346166502139,0.11866488055369502
47,23000.0,1473.0,13305.0,23000.0,1473.0,13305.0,23000.0,1863.0,14764.0,23000.0,714.0,16332.0,23000.0,1101.0,18053.0,23000.0,1530.0,19955.0,23000.0,1965.0,22057.0,23000.0,2583.0,24381.0,23000.0,3269.0,26950.0,0.11071025930101466,0.11071025930101466,0.1261853156326199,0.04371785451873622,0.06098709355785742,0.07667251315459785,0.08908736455546992,0.10594315245478036,0.1212987012987013
