,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
current_law_All,532.33,552.23,630.11,718.55,814.57,920.86,1039.29,1171.17,1318.00,1481.32
reform_All,532.33,552.23,630.11,718.55,740.78,850.39,974.00,1113.15,1269.52,1444.96
