,id_n,Year,ADJST_TAXABLE_INCOME_M_9
238,14053,2024,8122257.0
239,14135,2024,950273.05
240,14137,2024,856175.0
241,14202,2024,12212418.1
242,14222,2024,0.0
243,14224,2024,735521.0
244,14529,2024,0.0
245,14536,2024,20647156.0
246,14563,2024,344224.26
247,14796,2024,27898635.0
248,14923,2024,0.0
249,14978,2024,0.0
250,15353,2024,0.0
251,15368,2024,0.0
252,15427,2024,13656.7
253,15501,2024,0.0
254,15568,2024,5.0
255,15874,2024,925703.0
256,15926,2024,11099761.8
257,15975,2024,8064753.94
258,16047,2024,0.0
259,16320,2024,0.0
260,16372,2024,2627750.0
261,16427,2024,0.0
262,16459,2024,0.0
263,16521,2024,309379.0
264,16525,2024,0.0
265,16571,2024,10250803.0
266,16692,2024,389610936.67
267,16841,2024,788.0
268,16848,2024,88400638.0
269,16874,2024,0.0
270,16885,2024,0.0
271,16894,2024,7430920.0
272,16939,2024,0.0
273,16958,2024,0.0
274,16997,2024,2056179.0
275,17106,2024,10646832.6
276,17162,2024,1179914.0
277,17242,2024,323690.55
278,17332,2024,0.0
279,17434,2024,0.0
280,17534,2024,0.0
281,17553,2024,2178925.0
282,17602,2024,701666.0
283,17799,2024,1209324.4
284,17914,2024,0.0
285,18264,2024,375744.0
286,18428,2024,3709533.0
287,18477,2024,22879456.0
288,18523,2024,192804776.45
289,18564,2024,7812916.0
290,18688,2024,180014.95
291,18770,2024,0.0
292,18812,2024,3013579.9
293,18815,2024,17365.8
294,18820,2024,188764.24
295,18942,2024,240885.0
296,19161,2024,99205651.0
297,19289,2024,7400827.75
298,19352,2024,1178655.0
299,19433,2024,31091093.34
300,19468,2024,115662764.15
301,19524,2024,0.0
302,19539,2024,0.0
303,19587,2024,44829473.55
304,19619,2024,48834337.0
305,19664,2024,62887451.0
306,19672,2024,5471116.0
307,19771,2024,1657334.65
308,19824,2024,449563.0
309,19853,2024,220278.3
310,19868,2024,31239112.36
311,19871,2024,4449029.3
312,19908,2024,176332226.9
